Attack_Type,Protocol,Source_IP,Destination_IP
BAD-TRAFFIC same SRC/DST,IGMP,0.0.0.0,224.0.0.22
BAD-TRAFFIC same SRC/DST,IGMP,0.0.0.0,224.0.0.22
ICMP Ping Detected,ICMP,192.168.32.18,192.168.34.131
ICMP Ping Detected,ICMP,192.168.30.134,192.168.34.131
ICMP Ping Detected,ICMP,192.168.30.134,192.168.34.131
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,192.168.34.102,192.168.34.103
ICMP Ping Detected,ICMP,35.213.7.90,192.168.147.226
ICMP Ping Detected,ICMP,35.213.7.90,192.168.147.226
ICMP Ping Detected,ICMP,35.213.7.90,192.168.147.226
ICMP Ping Detected,ICMP,35.213.7.90,192.168.147.226
